rank, id, name, rating
1, 2025/12-28/9, Костин Егор, 1515
2, 2025/12-28/11, Садовников Матвей, 1503
3, 2025/12-28/10, Руденко Владимир, 1440
4, 2025/12-28/14, Сойгалов Степан, 1372
5, 2025/12-28/5, Губанов Илья, 1356
6, 2025/12-28/13, Саламатов Марк, 1343
7, 2025/12-28/17, Фомина Алёна, 1278
8, 2025/12-28/8, Котоман Семен, 1230
9, 2025/12-28/6, Егоров Дмитрий, 1222
10, 2025/12-28/4, Богинский Никита, 1181
11, 2025/12-28/1, Аверин Дмитрий, 1177
12, 2025/12-28/2, Асанов Александр, 1120
13, 2025/12-28/16, Формагей Виктория, 1063
14, 2025/12-28/12, Саламатов Александр, 1020
15, 2025/12-28/7, Елисеев Степан, 966
16, 2025/12-28/15, Старостенков Антон, 826
17, 2025/12-28/3, Асанов Петр, 789
